CT,Latitude,Longitude,O_Area_km2,Population
1,5.34204,-4.14345,16.30438,1928
2,5.34161,-3.9136,12.88787,1521
3,5.26333,-3.96705,0.99297,117
4,5.45137,-4.07001,33.21323,3919
5,6.72941,-3.49623,2.28007,257
6,6.72942,-3.48594,3.1623,377
7,5.27314,-3.98117,1.70078,198
8,5.85801,-3.9117,259.26427,30609
9,5.42112,-4.01445,0.49519,54
10,5.44691,-4.0216,1.98799,234
11,5.43591,-4.00659,1.38773,162
12,5.4207,-4.01875,0.25375,30
13,5.41719,-3.99723,0.87919,103
14,5.4079,-3.99805,0.406,48
15,5.46911,-3.21174,52.09352,6144
16,6.66473,-4.09547,291.40439,34409
17,6.22173,-3.54335,467.50989,55211
18,5.88855,-4.53154,252.24382,29788
19,5.29179,-3.16458,203.22752,23999
20,5.31583,-4.11095,13.39236,1579
21,5.31805,-5.22252,308.63747,36448
22,5.42221,-3.26729,81.54181,9624
23,5.17559,-4.6434,147.83872,17467
24,5.50368,-5.82956,513.9831,60700
25,5.30441,-3.31281,142.16001,16787
26,5.31828,-4.19601,17.99347,2123
27,5.34938,-4.02587,0.24758,29
28,4.77022,-6.85008,363.82384,42840
29,5.24178,-3.88635,17.86595,2109
30,6.09139,-3.85479,116.63463,13772
31,5.25524,-3.93205,4.40493,521
32,5.25452,-3.93289,0.93439,111
33,5.25585,-3.93629,2.89441,342
34,5.25516,-3.93217,0.03786,4
35,6.65709,-3.3891,162.29093,19156
36,6.32425,-3.94379,604.01178,71323
37,5.41437,-2.91929,216.43889,25560
38,5.36259,-4.03065,2.25615,267
39,5.92858,-4.21063,58.3647,6903
40,5.32383,-4.02307,0.16913,19
41,5.36275,-3.95385,1.11222,129
42,5.92862,-4.21744,103.83684,12214
43,6.48586,-4.48023,203.52004,24029
44,7.1279,-3.20485,75.29866,8900
45,5.97902,-3.94427,100.01307,11807
46,6.35854,-3.85541,178.94931,21138
47,6.25781,-4.93826,258.15027,30482
48,6.0468,-6.08808,109.7944,12966
