ID_2,Population
1,612150
2,458119
3,1056938
4,793165
5,582447
6,995741
7,672407
8,2514679
9,249354
10,558435
11,532656
12,558325
13,534525
14,277323
15,620843
16,434894
17,734908
18,331732
19,696479
20,1012240
21,254705
22,420889
23,487118
24,196178
25,389379
26,357043
27,1326447
28,602695
29,222669
30,651184
31,449267
32,583476
33,614138
34,942792
35,2052712
36,1505366
37,275713
38,942827
39,314308
40,727717
41,226360
42,550054
43,1153481
44,1106992
45,223821
46,1322234
47,1346693
48,1162747
49,2576571
50,754213
