CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,P_Area_km2
1,-4.14345,5.34204,16.30438,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,16.30438
2,-3.9136,5.34161,12.88787,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,12.88787
3,-3.96705,5.26333,0.99297,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.99297
4,-4.07001,5.45137,33.21323,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,33.21323
5,-3.49623,6.72941,2.28007,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,2.28007
6,-3.48594,6.72942,3.1623,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,3.1623
7,-3.98117,5.27314,1.70078,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.70078
8,-3.9117,5.85801,259.26427,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,156.47024
8,-3.9117,5.85801,259.26427,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,102.79403
9,-4.01445,5.42112,0.49519,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.49519
10,-4.0216,5.44691,1.98799,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.98799
11,-4.00659,5.43591,1.38773,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.38773
12,-4.01875,5.4207,0.25375,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.25375
13,-3.99723,5.41719,0.87919,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.87919
14,-3.99805,5.4079,0.406,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.406
15,-3.21174,5.46911,52.09352,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,52.09352
16,-4.09547,6.66473,291.40439,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,66.83565
16,-4.09547,6.66473,291.40439,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,224.56874
17,-3.54335,6.22173,467.50989,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,416.43935
17,-3.54335,6.22173,467.50989,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,51.07054
18,-4.53154,5.88855,252.24382,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,247.50596
18,-4.53154,5.88855,252.24382,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,4.73786
19,-3.16458,5.29179,203.22752,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,203.22752
20,-4.11095,5.31583,13.39236,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,13.39236
21,-5.22252,5.31805,308.63747,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,308.63747
22,-3.26729,5.42221,81.54181,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,81.54181
23,-4.6434,5.17559,147.83872,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,147.83872
24,-5.82956,5.50368,513.9831,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,271.47253
24,-5.82956,5.50368,513.9831,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,242.51057
25,-3.31281,5.30441,142.16001,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,142.16001
26,-4.19601,5.31828,17.99347,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,17.99347
27,-4.02587,5.34938,0.24758,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.24758
28,-6.85008,4.77022,363.82384,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,363.82384
29,-3.88635,5.24178,17.86595,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,17.86595
30,-3.85479,6.09139,116.63463,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,116.63463
31,-3.93205,5.25524,4.40493,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,4.40493
32,-3.93289,5.25452,0.93439,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.93439
33,-3.93629,5.25585,2.89441,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,2.89441
34,-3.93217,5.25516,0.03786,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.03786
35,-3.3891,6.65709,162.29093,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,162.29093
36,-3.94379,6.32425,604.01178,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,593.10641
36,-3.94379,6.32425,604.01178,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,10.90537
37,-2.91929,5.41437,216.43889,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,216.43889
