CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,P_Area_km2
319,-6.49072,6.39252,200.27058,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,Département,Department,,,200.27058
683,-6.42082,5.66865,376.08953,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,Département,Department,,,60.95036
683,-6.42082,5.66865,376.08953,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,315.13916
482,-6.41128,5.89164,164.45958,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,164.45958
284,-4.39761,6.24356,375.77237,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,71.12133
284,-4.39761,6.24356,375.77237,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,Département,Department,,,257.3165
284,-4.39761,6.24356,375.77237,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,Département,Department,,,47.33454
512,-6.41961,5.05034,208.52268,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,Département,Department,,,203.92237
512,-6.41961,5.05034,208.52268,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,Département,Department,,,4.6003
1064,-6.05648,6.11685,117.09006,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,Département,Department,,,117.09006
593,-3.59354,6.73757,148.3267,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,148.3267
552,-3.91809,6.16658,228.7383,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,Département,Department,,,208.60602
552,-3.91809,6.16658,228.7383,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,20.13228
857,-4.04931,7.29627,497.37605,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,Département,Department,,,354.07365
857,-4.04931,7.29627,497.37605,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,Département,Department,,M'bahiakro,143.3024
1004,-3.9588,5.3265,2.32286,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,2.32286
864,-5.93596,6.30551,143.42519,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,Département,Department,,,143.42519
223,-7.33477,9.90651,940.70727,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,Département,Department,,,940.70727
976,-2.95294,7.94318,161.64231,57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,Département,Department,,,161.64231
814,-3.99477,5.43275,0.91838,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.91838
