CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
319,-6.49072,6.39252,200.27058,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,59,Issia,Sous-préfecture,Sub-prefecture,,,199.64954
319,-6.49072,6.39252,200.27058,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,60,Saioua,Sous-préfecture,Sub-prefecture,,,0.62104
683,-6.42082,5.66865,376.08953,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,19,Sassandra,Sous-préfecture,Sub-prefecture,,,60.95036
683,-6.42082,5.66865,376.08953,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,22,Meagui (Gnamangui),Sous-préfecture,Sub-prefecture,,,27.44822
683,-6.42082,5.66865,376.08953,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,23,Soubre,Sous-préfecture,Sub-prefecture,,,287.69094
482,-6.41128,5.89164,164.45958,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,23,Soubre,Sous-préfecture,Sub-prefecture,,,164.45958
284,-4.39761,6.24356,375.77237,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,97,M'batto,Sous-préfecture,Sub-prefecture,,,257.3165
284,-4.39761,6.24356,375.77237,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,8,Rubino,Sous-préfecture,Sub-prefecture,,,71.12133
284,-4.39761,6.24356,375.77237,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,80,Tiassale,Sous-préfecture,Sub-prefecture,,,47.33454
512,-6.41961,5.05034,208.52268,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,17,San-Pedro,Sous-préfecture,Sub-prefecture,,,203.92237
512,-6.41961,5.05034,208.52268,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,19,Sassandra,Sous-préfecture,Sub-prefecture,,,4.6003
1064,-6.05648,6.11685,117.09006,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,50,Gagnoa,Sous-préfecture,Sub-prefecture,,,117.09006
593,-3.59354,6.73757,148.3267,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,91,Abengourou,Sous-préfecture,Sub-prefecture,,,148.3267
552,-3.91809,6.16658,228.7383,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,1,Adzope,Sous-préfecture,Sub-prefecture,,,159.8307
552,-3.91809,6.16658,228.7383,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,2,Affery,Sous-préfecture,Sub-prefecture,,,48.77532
552,-3.91809,6.16658,228.7383,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,6,Agboville,Sous-préfecture,Sub-prefecture,,,20.13228
857,-4.04931,7.29627,497.37605,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,101,Ouelle,Sous-préfecture,Sub-prefecture,,,354.07365
857,-4.04931,7.29627,497.37605,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,105,M'bahiakro,Sous-préfecture,Sub-prefecture,,,143.3024
1004,-3.9588,5.3265,2.32286,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,2.32286
864,-5.93596,6.30551,143.42519,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,52,Ouragahio,Sous-préfecture,Sub-prefecture,,,143.42519
223,-7.33477,9.90651,940.70727,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,37,Tienko,Sous-préfecture,Sub-prefecture,,,81.06869
223,-7.33477,9.90651,940.70727,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,28,Goulia,Sous-préfecture,Sub-prefecture,,,514.00464
223,-7.33477,9.90651,940.70727,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,29,Kaniasso,Sous-préfecture,Sub-prefecture,,,93.98452
223,-7.33477,9.90651,940.70727,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,30,Madinani,Sous-préfecture,Sub-prefecture,,,251.64942
976,-2.95294,7.94318,161.64231,57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,175,Bondoukou,Sous-préfecture,Sub-prefecture,,,161.64231
814,-3.99477,5.43275,0.91838,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.91838
589,-6.51092,6.83077,81.96527,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,56,Daloa,Sous-préfecture,Sub-prefecture,,,13.53571
589,-6.51092,6.83077,81.96527,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,57,Gboguhe,Sous-préfecture,Sub-prefecture,,,68.42955
