ID_2,Latitude,Longitude
1,6.19509,-3.78355
2,5.90884,-4.26283
23,7.00293,-5.83605
24,6.65460,-5.76400
25,7.47325,-6.03016
26,6.72805,-7.26748
27,6.33398,-7.68216
28,6.55309,-3.45022
29,7.10137,-3.34688
30,6.59841,-4.23525
31,7.24913,-3.95339
32,6.97405,-4.55604
33,7.64404,-4.13732
34,9.68977,-6.48917
35,9.50393,-4.81938
36,9.41244,-5.83309
37,10.44827,-6.41614
38,5.61006,-5.35635
39,5.83699,-5.72173
40,5.51272,-3.12328
41,7.78285,-5.51507
42,7.76236,-4.96766
43,8.40198,-4.47744
44,8.65342,-5.21416
45,7.43789,-5.39421
46,8.36298,-6.03620
47,8.37221,-6.76035
48,8.23702,-3.16776
49,9.17200,-3.44775
50,7.62304,-3.28242
3,8.38223,-7.62140
4,5.01527,-6.79455
5,5.30113,-6.11055
6,5.87874,-6.70811
7,5.03620,-7.31127
8,9.64565,-7.39199
10,7.77751,-7.59383
11,7.22389,-8.15406
12,7.35656,-7.47951
9,7.02953,-7.47503
13,6.13355,-6.04767
14,6.39048,-5.50914
15,6.90206,-6.54284
16,6.47146,-6.54153
17,7.45041,-6.68924
18,6.50533,-5.01013
19,7.09505,-5.12473
20,5.47629,-4.05271
21,5.38339,-4.96561
22,6.02789,-4.81423
