ID_3,Population
92463,8799
92464,9204
92465,45937
92466,48884
92467,53947
92468,60602
92469,73704
92470,78635
92471,83683
92472,118762
92473,67596
92474,109807
92475,45484
92476,72722
92477,106880
92478,56178
92479,169322
92480,192516
92481,85414
92482,76572
92483,167634
92484,527563
92485,509117
92486,141477
92487,60618
92488,72876
92489,88072
92490,69623
92491,113498
92492,83615
92493,298534
92494,133072
92495,566866
92496,333557
92497,78747
92498,223200
92499,78133
92500,117386
92501,328509
92502,171693
92503,139399
92504,195430
92505,175134
92506,102961
92507,1001957
92508,369978
92509,527051
92510,515580
92511,336109
92512,103743
92513,98614
92514,142738
92515,726740
92516,1760558
92517,306761
92518,240398
92519,281680
92520,96354
92521,349540
92522,391532
92523,492509
92524,289217
92525,390993
92526,1070698
92527,161501
92528,836496
92529,618601
92530,682278
92531,286329
92532,240080
92533,809146
92534,732421
92535,373541
92536,306712
92537,1001761
92538,59015
92539,78541
92540,95567
92541,61084
92542,59275
92543,62697
92544,128375
92545,78344
92546,86509
92547,90625
92548,204452
92549,170941
92550,98208
92551,121331
92552,47492
92553,46124
92554,80978
92555,46689
