CT,lon,lat,O_Area_km2,ID_2,P_Area_km2
770,-16.37053,12.77225,85.75917,31104,85.75917
86,-17.46392,14.75995,0.38304,31077,0.38304
1020,-15.92071,15.67844,415.35843,31094,415.35843
187,-17.44614,14.71231,0.19819,31077,0.19819
927,-16.06102,14.54753,76.01772,31081,56.42533
927,-16.06102,14.54753,76.01772,31082,18.26123
927,-16.06102,14.54753,76.01772,31085,1.33116
948,-16.05291,12.62244,84.56134,31104,24.24907
948,-16.05291,12.62244,84.56134,31106,60.31227
93,-17.46136,14.73321,0.28784,31077,0.28784
350,-17.38042,14.76192,0.29701,31078,0.29701
1147,-15.61915,16.52428,36.25143,31096,36.25143
553,-16.93477,14.78508,0.50894,31102,0.50894
304,-17.41297,14.77007,0.22575,31078,0.22575
114,-17.45615,14.70786,0.14514,31077,0.14514
70,-17.46581,14.69941,0.28434,31077,0.28434
242,-17.4361,14.66744,0.07044,31077,0.07044
1349,-14.48744,13.07357,636.99532,31089,636.99532
769,-16.33767,12.6833,89.36264,31104,89.36264
644,-16.72534,15.42581,253.23394,31103,74.70578
644,-16.72534,15.42581,253.23394,31092,178.52815
1048,-15.87464,14.85247,0.66813,31082,0.66813
1617,-12.26831,12.7858,186.92201,31099,186.92201
667,-16.59111,14.30894,117.11503,31083,117.11503
883,-16.18996,15.42218,192.58711,31094,117.70256
883,-16.18996,15.42218,192.58711,31092,74.88455
85,-17.46293,14.69285,0.24795,31077,0.24795
1180,-15.49381,13.32117,195.57763,31090,195.57763
372,-17.36933,14.79092,1.14177,31078,1.14177
1492,-13.56098,13.84942,133.99299,31098,52.91731
1492,-13.56098,13.84942,133.99299,31100,81.07568
725,-16.47509,14.84969,85.45885,31080,85.45885
343,-17.38559,14.76293,0.25059,31078,0.25059
128,-17.4551,14.69373,0.2364,31077,0.2364
1377,-14.36749,16.3067,592.99627,31097,592.99627
1256,-15.08335,16.18578,640.59843,31097,640.59843
716,-16.48639,16.00521,2.1217,31096,2.1217
710,-16.50151,15.9786,19.65956,31096,19.65956
24,-17.48697,14.72432,0.30252,31077,0.30252
438,-17.2886,14.71707,0.55188,31079,0.55188
230,-17.4363,14.67578,0.15676,31077,0.15676
1105,-15.73249,12.45952,89.68765,31090,89.68765
567,-16.91849,14.78878,0.9687,31102,0.9687
905,-16.16615,15.76881,196.17024,31094,196.17024
857,-16.21795,12.79059,77.09846,31104,77.09846
