ID_2,Longitude,Latitude
31077,-17.46082,14.72202
31078,-17.36403,14.76543
31079,-17.20933,14.75613
31080,-16.47431,14.79588
31081,-16.20796,14.75834
31082,-15.92317,14.77276
31083,-16.48018,14.31714
31084,-16.41006,13.84698
31085,-15.79959,14.49709
31086,-15.18630,14.20353
31087,-16.05445,14.06040
31088,-15.82471,13.72823
31089,-14.77399,13.05500
31090,-15.58568,12.88861
31091,-13.87979,12.98876
31092,-16.25464,15.29748
31093,-15.04749,15.28373
31094,-16.00204,15.73760
31095,-13.60442,15.15676
31096,-15.93379,16.22782
31097,-14.61451,16.20925
31098,-12.72727,14.03808
31099,-12.20762,12.83705
31100,-13.77186,13.70453
31101,-16.82691,14.46054
31102,-16.86398,14.74411
31103,-16.66526,15.08680
31104,-16.35722,12.89335
31105,-16.60816,12.46405
31106,-16.21274,12.51816
