DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,dhsid_2,dhscc_2,dhsyear_2,dhsclust_2,ccfips_2,adm1fips_2,adm1fipsna_2,adm1salbna_2,adm1salbco_2,adm1dhs_2,adm1name_2,dhsregco_2,dhsregna_2,source_2,urban_rura_2,latnum_2,longnum_2,alt_gps_2,alt_dem_2,datum_2
CI201200000001,CI,2012.000000,1.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,5.973453,-3.198473,9999.000000,136.000000,WGS84,CI201200000001,CI,2012,1,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,R,5.973453,-3.198473,9999,136,WGS84
CI201200000002,CI,2012.000000,2.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.462503,-8.211979,9999.000000,255.000000,WGS84,CI201200000002,CI,2012,2,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,6.462503,-8.211979,9999,255,WGS84
CI201200000003,CI,2012.000000,3.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.274597,-8.324563,9999.000000,337.000000,WGS84,CI201200000003,CI,2012,3,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,7.274597,-8.324563,9999,337,WGS84
CI201200000004,CI,2012.000000,4.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.731449,-3.059561,9999.000000,223.000000,WGS84,CI201200000004,CI,2012,4,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,7.731449,-3.059561,9999,223,WGS84
CI201200000005,CI,2012.000000,5.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.713830,-5.040708,9999.000000,341.000000,WGS84,CI201200000005,CI,2012,5,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.71383,-5.040708,9999,341,WGS84
CI201200000006,CI,2012.000000,6.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,7.745866,-4.215073,9999.000000,228.000000,WGS84,CI201200000006,CI,2012,6,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,R,7.745866,-4.215073,9999,228,WGS84
CI201200000007,CI,2012.000000,7.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.643734,-4.745620,9999.000000,82.000000,WGS84,CI201200000007,CI,2012,7,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.643734,-4.74562,9999,82,WGS84
CI201200000008,CI,2012.000000,8.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.892448,-7.608675,9999.000000,263.000000,WGS84,CI201200000008,CI,2012,8,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,6.892448,-7.608675,9999,263,WGS84
CI201200000009,CI,2012.000000,9.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.358886,-3.987535,9999.000000,70.000000,WGS84,CI201200000009,CI,2012,9,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.358886,-3.987535,9999,70,WGS84
CI201200000010,CI,2012.000000,10.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.410940,-7.555014,9999.000000,328.000000,WGS84,CI201200000010,CI,2012,10,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,7.41094,-7.555014,9999,328,WGS84
