DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
CI201200000001,CI,2012.000000,1.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,5.973453,-3.198473,9999.000000,136.000000,WGS84,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,
CI201200000002,CI,2012.000000,2.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.462503,-8.211979,9999.000000,255.000000,WGS84,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,
CI201200000003,CI,2012.000000,3.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.274597,-8.324563,9999.000000,337.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000004,CI,2012.000000,4.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.731449,-3.059561,9999.000000,223.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000005,CI,2012.000000,5.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.713830,-5.040708,9999.000000,341.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000006,CI,2012.000000,6.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,7.745866,-4.215073,9999.000000,228.000000,WGS84,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,
CI201200000007,CI,2012.000000,7.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.643734,-4.745620,9999.000000,82.000000,WGS84,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,
CI201200000008,CI,2012.000000,8.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.892448,-7.608675,9999.000000,263.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000009,CI,2012.000000,9.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.358886,-3.987535,9999.000000,70.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000010,CI,2012.000000,10.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.410940,-7.555014,9999.000000,328.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000011,CI,2012.000000,11.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.714617,-5.011033,9999.000000,324.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000012,CI,2012.000000,12.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,U,5.779923,-6.577702,9999.000000,138.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000013,CI,2012.000000,13.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.370819,-6.492040,9999.000000,198.000000,WGS84,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur
CI201200000014,CI,2012.000000,14.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.819801,-6.404806,9999.000000,13.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000015,CI,2012.000000,15.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,6.150866,-4.243579,9999.000000,66.000000,WGS84,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi
CI201200000016,CI,2012.000000,16.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,6.111719,-4.776144,9999.000000,49.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000017,CI,2012.000000,17.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.356634,-4.541167,9999.000000,101.000000,WGS84,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,
CI201200000018,CI,2012.000000,18.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.246031,-2.831250,9999.000000,331.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000019,CI,2012.000000,19.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.262830,-3.930453,9999.000000,4.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000020,CI,2012.000000,20.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,8.031223,-2.809747,9999.000000,349.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000021,CI,2012.000000,21.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.363110,-4.034414,9999.000000,67.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000022,CI,2012.000000,22.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.054705,-7.575076,9999.000000,255.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000023,CI,2012.000000,23.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,7.216652,-3.349916,9999.000000,176.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000024,CI,2012.000000,24.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.759748,-5.038454,9999.000000,334.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000025,CI,2012.000000,25.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.389870,-3.107704,9999.000000,424.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000026,CI,2012.000000,26.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,6.742130,-3.503726,9999.000000,172.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
