DHSID,DHSCLUST,ID_2
CI201200000001,1,40
CI201200000002,2,27
CI201200000003,3,11
CI201200000004,4,50
CI201200000005,5,42
CI201200000006,6,33
CI201200000007,7,32
CI201200000008,8,9
CI201200000009,9,20
CI201200000010,10,12
CI201200000011,11,42
CI201200000012,12,6
CI201200000013,13,16
CI201200000014,14,4
CI201200000015,15,2
CI201200000016,16,22
CI201200000017,17,30
CI201200000018,18,48
CI201200000019,19,20
CI201200000020,20,48
CI201200000021,21,20
CI201200000022,22,12
CI201200000023,23,29
CI201200000024,24,42
CI201200000025,25,48
CI201200000026,26,28
CI201200000027,27,6
CI201200000028,28,10
CI201200000029,29,6
CI201200000030,30,48
CI201200000031,31,18
CI201200000032,32,15
CI201200000033,33,15
CI201200000034,34,12
CI201200000035,35,48
CI201200000036,36,15
CI201200000037,37,50
CI201200000038,38,6
CI201200000039,39,44
CI201200000040,40,27
CI201200000041,41,6
CI201200000042,42,29
CI201200000043,43,28
CI201200000044,44,11
CI201200000045,45,36
CI201200000046,46,46
CI201200000047,47,27
CI201200000048,48,42
CI201200000049,49,8
CI201200000050,50,36
CI201200000051,51,42
CI201200000052,52,37
CI201200000053,53,38
CI201200000054,54,12
CI201200000055,55,20
CI201200000056,56,28
CI201200000057,57,7
CI201200000058,58,20
CI201200000059,59,43
CI201200000060,60,42
CI201200000061,61,19
CI201200000062,62,7
CI201200000063,63,20
CI201200000064,64,19
CI201200000065,65,28
CI201200000066,66,16
CI201200000067,67,20
CI201200000068,68,13
CI201200000069,69,13
CI201200000070,70,6
CI201200000071,71,20
CI201200000072,72,6
CI201200000073,73,23
CI201200000074,74,42
CI201200000075,75,20
CI201200000076,76,20
CI201200000077,77,43
CI201200000078,78,13
CI201200000079,79,30
CI201200000080,80,28
CI201200000081,81,38
CI201200000082,82,49
CI201200000083,83,19
CI201200000084,84,3
CI201200000085,85,36
CI201200000086,86,29
CI201200000087,87,48
CI201200000088,88,30
CI201200000089,89,23
CI201200000090,90,28
CI201200000091,91,42
CI201200000092,92,11
CI201200000093,93,20
CI201200000094,94,4
CI201200000095,95,46
CI201200000096,96,24
CI201200000097,97,20
CI201200000098,98,19
CI201200000099,99,29
CI201200000100,100,15
CI201200000101,101,44
CI201200000102,102,20
CI201200000103,103,6
CI201200000104,104,7
CI201200000105,105,35
CI201200000106,106,46
CI201200000107,107,6
CI201200000108,108,42
CI201200000109,109,48
CI201200000110,110,20
CI201200000111,111,4
CI201200000112,112,42
CI201200000113,113,10
CI201200000114,114,20
CI201200000115,115,28
CI201200000116,116,20
CI201200000117,117,12
CI201200000118,118,36
CI201200000119,119,7
CI201200000120,120,35
CI201200000121,121,4
CI201200000122,122,13
CI201200000123,123,15
CI201200000124,124,24
CI201200000125,125,17
CI201200000126,126,18
CI201200000127,127,11
CI201200000128,128,8
CI201200000129,129,1
CI201200000130,130,9
CI201200000131,131,2
CI201200000132,132,35
CI201200000133,133,50
CI201200000134,134,19
CI201200000135,135,8
CI201200000136,136,20
CI201200000137,137,28
CI201200000138,138,50
CI201200000139,139,36
CI201200000140,140,48
CI201200000141,141,28
CI201200000142,142,20
CI201200000143,143,48
CI201200000144,144,34
CI201200000145,145,49
CI201200000146,146,28
CI201200000147,147,28
CI201200000148,148,26
CI201200000150,150,36
CI201200000151,151,20
CI201200000152,152,19
CI201200000153,153,8
CI201200000154,154,29
CI201200000155,155,13
CI201200000156,156,20
CI201200000157,157,36
CI201200000158,158,20
CI201200000159,159,7
CI201200000160,160,20
CI201200000161,161,42
CI201200000162,162,34
CI201200000163,163,12
CI201200000164,164,44
CI201200000165,165,20
CI201200000167,167,41
CI201200000168,168,38
CI201200000169,169,8
CI201200000170,170,3
CI201200000171,171,20
CI201200000172,172,47
CI201200000173,173,36
CI201200000175,175,19
CI201200000177,177,40
CI201200000178,178,3
CI201200000179,179,20
CI201200000180,180,15
CI201200000181,181,46
CI201200000182,182,17
CI201200000183,183,28
CI201200000184,184,28
CI201200000185,185,4
CI201200000187,187,25
CI201200000188,188,12
CI201200000189,189,47
CI201200000190,190,47
CI201200000191,191,5
CI201200000192,192,31
CI201200000193,193,36
CI201200000194,194,20
CI201200000195,195,3
CI201200000196,196,5
CI201200000197,197,48
CI201200000198,198,34
CI201200000199,199,44
CI201200000200,200,28
CI201200000201,201,4
CI201200000202,202,33
CI201200000203,203,20
CI201200000204,204,42
CI201200000205,205,23
CI201200000207,207,4
CI201200000208,208,16
CI201200000209,209,33
CI201200000210,210,20
CI201200000211,211,32
CI201200000212,212,27
CI201200000213,213,28
CI201200000214,214,42
CI201200000215,215,8
CI201200000216,216,3
CI201200000217,217,20
CI201200000218,218,11
CI201200000219,219,50
CI201200000220,220,26
CI201200000221,221,20
CI201200000222,222,12
CI201200000223,223,28
CI201200000224,224,20
CI201200000226,226,27
CI201200000227,227,50
CI201200000228,228,20
CI201200000230,230,2
CI201200000231,231,20
CI201200000232,232,21
CI201200000233,233,6
CI201200000234,234,36
CI201200000235,235,26
CI201200000236,236,36
CI201200000237,237,20
CI201200000238,238,20
CI201200000239,239,20
CI201200000240,240,47
CI201200000241,241,1
CI201200000242,242,50
CI201200000243,243,42
CI201200000244,244,36
CI201200000245,245,28
CI201200000246,246,4
CI201200000247,247,47
CI201200000248,248,31
CI201200000249,249,49
CI201200000250,250,35
CI201200000251,251,28
CI201200000252,252,20
CI201200000253,253,30
CI201200000254,254,41
CI201200000255,255,44
CI201200000256,256,50
CI201200000257,257,17
CI201200000258,258,32
CI201200000259,259,36
CI201200000260,260,20
CI201200000261,261,40
CI201200000262,262,43
CI201200000263,263,19
CI201200000264,264,20
CI201200000265,265,46
CI201200000266,266,32
CI201200000267,267,45
CI201200000268,268,46
CI201200000269,269,20
CI201200000270,270,3
CI201200000271,271,11
CI201200000272,272,14
CI201200000273,273,49
CI201200000274,274,35
CI201200000275,275,39
CI201200000276,276,20
CI201200000277,277,20
CI201200000278,278,8
CI201200000279,279,4
CI201200000280,280,46
CI201200000281,281,46
CI201200000282,282,6
CI201200000283,283,42
CI201200000284,284,20
CI201200000285,285,28
CI201200000286,286,20
CI201200000287,287,47
CI201200000288,288,20
CI201200000289,289,13
CI201200000290,290,35
CI201200000291,291,12
CI201200000292,292,36
CI201200000293,293,28
CI201200000295,295,31
CI201200000296,296,15
CI201200000297,297,11
CI201200000298,298,4
CI201200000299,299,19
CI201200000300,300,27
CI201200000301,301,49
CI201200000302,302,20
CI201200000303,303,20
CI201200000304,304,6
CI201200000305,305,20
CI201200000306,306,28
CI201200000307,307,35
CI201200000308,308,48
CI201200000309,309,36
CI201200000310,310,3
CI201200000311,311,20
CI201200000312,312,29
CI201200000313,313,20
CI201200000314,314,50
CI201200000316,316,41
CI201200000317,317,20
CI201200000318,318,42
CI201200000319,319,25
CI201200000320,320,48
CI201200000321,321,5
CI201200000322,322,45
CI201200000323,323,5
CI201200000324,324,44
CI201200000325,325,15
CI201200000326,326,6
CI201200000327,327,36
CI201200000328,328,34
CI201200000329,329,20
CI201200000331,331,8
CI201200000332,332,23
CI201200000333,333,29
CI201200000334,334,48
CI201200000335,335,20
CI201200000336,336,4
CI201200000337,337,20
CI201200000338,338,1
CI201200000339,339,43
CI201200000340,340,28
CI201200000341,341,29
CI201200000343,343,28
CI201200000344,344,20
CI201200000346,346,50
CI201200000347,347,42
CI201200000348,348,14
CI201200000349,349,19
CI201200000350,350,29
CI201200000351,351,16
CI201200000352,352,42
