DHSID,DHSCLUST,ID_3
CI201200000001,1,139
CI201200000002,2,87
CI201200000003,3,43
CI201200000004,4,181
CI201200000005,5,145
CI201200000006,6,105
CI201200000007,7,103
CI201200000008,8,38
CI201200000009,9,68
CI201200000010,10,48
CI201200000011,11,145
CI201200000012,12,23
CI201200000013,13,59
CI201200000014,14,17
CI201200000015,15,8
CI201200000016,16,79
CI201200000017,17,98
CI201200000018,18,175
CI201200000019,19,68
CI201200000020,20,175
CI201200000021,21,68
CI201200000022,22,47
CI201200000023,23,94
CI201200000024,24,145
CI201200000025,25,175
CI201200000026,26,91
CI201200000027,27,22
CI201200000028,28,39
CI201200000029,29,21
CI201200000030,30,175
CI201200000031,31,63
CI201200000032,32,56
CI201200000033,33,55
CI201200000034,34,49
CI201200000035,35,175
CI201200000036,36,58
CI201200000037,37,183
CI201200000038,38,20
CI201200000039,39,159
CI201200000040,40,88
CI201200000041,41,22
CI201200000042,42,94
CI201200000043,43,91
CI201200000044,44,43
CI201200000045,45,122
CI201200000046,46,164
CI201200000047,47,89
CI201200000048,48,145
CI201200000049,49,34
CI201200000050,50,124
CI201200000051,51,145
CI201200000052,52,130
CI201200000053,53,132
CI201200000054,54,48
CI201200000055,55,68
CI201200000056,56,92
CI201200000057,57,24
CI201200000058,58,68
CI201200000059,59,151
CI201200000060,60,145
CI201200000061,61,67
CI201200000062,62,25
CI201200000063,63,68
CI201200000064,64,67
CI201200000065,65,91
CI201200000066,66,60
CI201200000067,67,71
CI201200000068,68,50
CI201200000069,69,52
CI201200000070,70,21
CI201200000071,71,68
CI201200000072,72,22
CI201200000073,73,81
CI201200000074,74,145
CI201200000075,75,69
CI201200000076,76,68
CI201200000077,77,153
CI201200000078,78,50
CI201200000079,79,96
CI201200000080,80,92
CI201200000081,81,131
CI201200000082,82,177
CI201200000083,83,67
CI201200000084,84,15
CI201200000085,85,128
CI201200000086,86,94
CI201200000087,87,175
CI201200000088,88,96
CI201200000089,89,82
CI201200000090,90,91
CI201200000091,91,145
CI201200000092,92,44
CI201200000093,93,68
CI201200000094,94,16
CI201200000095,95,164
CI201200000096,96,83
CI201200000097,97,68
CI201200000098,98,67
CI201200000099,99,94
CI201200000100,100,56
CI201200000101,101,158
CI201200000102,102,68
CI201200000103,103,20
CI201200000104,104,25
CI201200000105,105,117
CI201200000106,106,165
CI201200000107,107,23
CI201200000108,108,145
CI201200000109,109,176
CI201200000110,110,76
CI201200000111,111,16
CI201200000112,112,145
CI201200000113,113,39
CI201200000114,114,68
CI201200000115,115,92
CI201200000116,116,68
CI201200000117,117,45
CI201200000118,118,125
CI201200000119,119,24
CI201200000120,120,116
CI201200000121,121,17
CI201200000122,122,50
CI201200000123,123,56
CI201200000124,124,83
CI201200000125,125,61
CI201200000126,126,63
CI201200000127,127,43
CI201200000128,128,32
CI201200000129,129,4
CI201200000130,130,38
CI201200000131,131,6
CI201200000132,132,112
CI201200000133,133,185
CI201200000134,134,67
CI201200000135,135,32
CI201200000136,136,68
CI201200000137,137,91
CI201200000138,138,182
CI201200000139,139,122
CI201200000140,140,176
CI201200000141,141,91
CI201200000142,142,68
CI201200000143,143,175
CI201200000144,144,107
CI201200000145,145,177
CI201200000146,146,93
CI201200000147,147,91
CI201200000148,148,86
CI201200000150,150,122
CI201200000151,151,68
CI201200000152,152,66
CI201200000153,153,30
CI201200000154,154,94
CI201200000155,155,50
CI201200000156,156,68
CI201200000157,157,120
CI201200000158,158,73
CI201200000159,159,25
CI201200000160,160,68
CI201200000161,161,145
CI201200000162,162,111
CI201200000163,163,48
CI201200000164,164,156
CI201200000165,165,68
CI201200000167,167,143
CI201200000168,168,133
CI201200000169,169,32
CI201200000170,170,9
CI201200000171,171,74
CI201200000172,172,172
CI201200000173,173,126
CI201200000175,175,66
