DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
CI201200000001,CIGE61FL,CI,2012,1,CI2012DHS,18803.42578,20876.37305,23541.2793,54.52311391,59.8531632,66.45155929,74.93421935,10118.79032,0.001987323,0.002402666,0.003569059,-9999,3927.75,3907.25,4029,3933.5,4138.166667,4161.75,4111.916667,32.71428571,12.0,0,0.144320701,0.589046918,0.638164775,0.649181493,0.532591184,0.453528786,0.018195765,1601.844086,13818.9848,45949.22103,8482.740681,1474.9,1509.1,1612.7,1413.2,1540.5,1842.5,1311.5,0.4457062752016129,0,0,0,27.83375168,24.6534996,26.8342495,27.79750061,26.7717495,25.16075134,26.21025085,28.00749969,27.37549973,27.03775024,26.3125,25.55200005,189.0833333,18185.01172,18722.28516,19445.6543,20461.24609,57.88469011,59.59488458,61.89744007,65.13016914
CI201200000002,CIGE61FL,CI,2012,2,CI2012DHS,7953.200195,8829.986328,9957.148438,23.06139894,25.31582249,28.10671943,31.69458786,9975.26776,0.001135648,0.002035136,0.003765393,-9999,4731,4742.6,4853.3,4434.2,4390.4,4424.3,4419.9,32.49726776,13.0,0,0.153588845,0.7827421,0.500510406,0.53036321,0.504556783,0.353892517,0.004665958,1819.721311,14738.31025,92250.98228,278913.0129,1994.454545,1510,2005.272727,1970.636364,1778.727273,2533.636364,1728,0.4329316186123207,0,0,0,26.57374954,23.93875122,25.0965004,26.39125061,25.54025078,24.09249878,25.13475037,26.68725014,26.07675171,25.6135025,25.36325073,24.80274963,368.5437158,15400.04785,16046.56641,16872.99609,17979.09375,49.01987478,51.07780728,53.70841465,57.22923285
CI201200000003,CIGE61FL,CI,2012,3,CI2012DHS,26081.10547,29452.37891,33272.875,75.20838239,83.01873714,93.74983379,105.9108505,10589.0545,0.004646924,0.007491879,0.00849498,-9999,4878.1,4946.2,5084.5,4680.6,4694.7,4813.6,4777.8,33.98637602,12.0,0.059340632,0.201494035,0.733433663,0.554069901,0.568694687,0.548997815,0.457783127,0,1902.242507,3454.247216,30959.53278,274901.3665,2156.666667,1815.333333,2234.888889,2103.777778,2119.888889,2438.333333,2181.888889,0.39964955509196187,0,0,0,25.97375107,23.49950027,24.4232502,25.31749916,24.92024994,23.73050117,24.83475113,25.7140007,25.70425034,25.20499992,25.1807518,24.72425079,250.3487738,21037.50391,22818.47266,25225.67969,27851.57813,66.96445475,72.63345435,80.29583231,88.65432665
CI201200000004,CIGE61FL,CI,2012,4,CI2012DHS,19792.51563,21974.50781,24779.58984,57.39112949,63.00153397,69.9470308,78.87588422,6403.126005,0.005575973,0.006224284,0.011606015,7,4136.9,4272,4388.7,4457.4,4765.5,4923.9,4904.5,30.10187668,11.0,0,0.175895165,0.671466134,0.64045283,0.587045924,0.47918431,0.370855776,0.017938566,1724.407507,19332.4842,76091.69255,178138.4203,1357.7,1029.1,1231.6,1010.9,1011.8,1397.7,825.9,0.1367178091095216,0,0,1,27.66299947,24.15933482,26.04533386,28.01999919,26.5606664,24.52499898,25.64966583,28.36099752,27.03200022,26.45099894,25.71266683,24.8700002,128.7211796,18894.32031,19865.19922,21070.12109,22638.50195,60.14248947,63.23289303,67.06827846,72.06058979
CI201200000005,CIGE61FL,CI,2012,5,CI2012DHS,54226.25781,60204.33203,67889.52344,3930.911987,4315.188488,4790.908519,5402.47662,6153.4,0.899579562,0.914958807,0.921525368,5,2989,2963,2964,3236,3524,3427,3478,80.6,11.0,0,0.099816736,0.429040831,0.522510588,0.446760595,0.412321866,0.264974654,15.69062195,1825.4,219214.8729,79337.40491,42027.21721,1457,954,1115,1074,847,1341,817,0.1184717337290446,3,3,3,27.63199997,24.36400032,26.00699997,28.24399948,27.02400017,24.37400055,25.43700027,28.23699951,26.69400024,26.09399986,25.60300064,24.78300095,5.6,2149.970215,2235.756836,2344.92334,2490.791016,171.0891936,177.915876,186.6030704,198.2108512
CI201200000006,CIGE61FL,CI,2012,6,CI2012DHS,9890.228516,10980.55859,12382.24609,28.67807635,31.48157513,34.95220355,39.41391344,5954.52,0.003346342,0.003806842,0.00542824,7,4146.3,4146.1,4189.1,4246.1,4450.3,4785.2,4719.6,18.95212766,11.0,0,0.176777909,0.700494302,0.596037165,0.560846774,0.514315542,0.340997156,0.014960529,1810.037333,143330.5516,101099.1451,124825.4699,1381.6,926.4,1188.4,890,881.4,1269.4,822.7,0.2859871032390189,0,0,0,28.07400004,24.71933492,26.436999,28.24733226,26.83466593,25.00666809,26.16466777,28.59066772,27.31299845,26.76066589,26.06900024,25.28133138,252.5744681,8353.125,9209.910156,10242.00879,11535.22363,26.58882268,29.31605454,32.60132652,36.71775721
CI201200000007,CIGE61FL,CI,2012,7,CI2012DHS,3647.945068,4050.105713,4567.109375,264.4429515,290.2942448,322.2971721,363.4390163,6320.066667,0.048757984,0.074341714,0.081283441,-9999,3597,3580,3588,3722,3818,3833,3825,35,11,0,0.095901475,0.447267099,0.550315261,0.492798656,0.510227501,0.3452636,1.279714913,1776.333333,162911.854,27219.54784,75986.29049,1109,881,1214,1039,1063,1243,924,0.022022080421447755,1,1,1,28.48200035,25.43300056,26.48999977,28.70800018,27.19300079,25.60000038,26.5720005,28.73200035,27.71100044,27.04100037,26.52600098,25.94499969,14.73333333,1735.412354,1760.438477,1801.164551,1866.3479,138.0997272,140.0912428,143.3321208,148.5192469
CI201200000008,CIGE61FL,CI,2012,8,CI2012DHS,18368.47461,20393.47266,22996.73828,53.26191666,58.46867062,64.91443961,73.20089145,9156.120219,0.001814713,0.006456457,0.019199319,-9999,4666,4702.3,4862.4,4680.2,4827.9,4766.5,4820,32.19398907,12.0,0,0.036827212,0.62733149,0.521551514,0.536761284,0.495303663,0.430487315,0.005268794,1771.579235,74614.87633,31207.33337,201540.4473,1844.75,1425.583333,2006.333333,1794.416667,1683.75,2321.833333,1785.833333,0.4567500880507172,0,0,1,26.6855011,23.89249802,24.89974976,26.39249802,25.34624863,24.00374985,25.24599838,26.75724983,26.35375023,25.49399948,25.33024979,24.79800034,204.6202186,23750.27734,29702.27344,37503.99219,48006.32422,75.59948077,94.54527278,119.3789149,152.808876
CI201200000009,CIGE61FL,CI,2012,9,CI2012DHS,203033.6875,225416.7813,254191.625,14718.10453,16156.90749,17938.0975,20227.92681,12202.61538,0.96683957,0.96683957,0.952917686,-9999,1651,1500,1549,1930,2134,2171,2158,81,12,0,0.002454039,0.172664783,0.363443583,0.548372567,0.31837064,0.306889147,30.01320043,1467.538462,11583.38102,5639.858552,9252.931112,1466,1425,1841,1605,1578,1866,1420,0.09260392189025879,3,3,3,28.01600075,24.27000046,27.05500031,27.63100052,26.86599922,24.89999962,26.20700073,27.86400032,27.42099953,27.19799995,26.16300011,25.14400101,11,27763.30469,30710.14063,34261.26172,38710.5625,2209.333589,2443.835342,2726.42458,3080.488686
CI201200000010,CIGE61FL,CI,2012,10,CI2012DHS,54912.51172,60966.24219,68748.6875,3980.659408,4369.798839,4851.539403,5470.846723,9376.333333,0.67954731,0.734385967,0.761545658,-9999,4775,4748,4894,4912,4958,5066,5034,59.86666667,12,0,0.041175084,0.419674811,0.422267199,0.463438362,0.348632574,0.261288524,8.910850016,1747.666667,70546.26859,44853.29958,190073.6257,2127,1531,2051,1856,1854,2059,1916,1.2776217142740884,3,3,3,26.2140007,23.74300003,23.51099968,25.72100067,24.34499931,23.6609993,24.76000023,26.18199921,25.80800056,24.72400093,24.81800079,24.3390007,3,3616.058105,4016.45166,4499.430664,5104.811523,287.756761,319.6190677,358.0533156,406.2279937
