DHSCLUST,_count
1,181332
2,117688
3,95365
4,67289
5,472
6,191450
7,72481
8,134676
9,1345
10,12443
11,4276
12,61091
13,126656
14,58366
15,168214
16,237040
17,167656
18,284330
19,3204
20,10774
21,1130
22,121574
23,42654
24,14193
25,232777
26,28866
27,252623
28,113945
29,58778
30,54766
31,173204
32,74385
33,183646
34,114805
35,36587
36,240581
37,75246
38,91980
39,132311
40,86331
41,97342
42,62732
43,38124
44,91994
45,52961
46,142711
47,285724
48,5083
49,192000
50,111789
51,3603
52,229218
53,246766
54,60369
55,150
56,55042
57,254131
58,344
59,208768
60,190
61,26675
62,49413
63,378
64,43732
65,43383
66,68204
67,29331
68,52749
69,79980
70,62391
71,12500
72,76545
73,91146
74,78
75,80747
76,353
77,249909
78,79782
79,122613
80,132156
81,302336
82,160023
83,15879
84,63355
85,48373
86,112
87,52456
88,165335
89,77682
90,31392
91,150961
92,69060
93,1053
94,172400
95,84833
96,124896
97,3055
98,301
99,31029
100,41466
101,414968
102,44817
103,168684
104,72487
105,191845
106,174726
107,102175
108,573
109,297645
110,166396
111,151276
112,66404
113,188055
114,1692
115,41547
116,3767
117,221353
118,236451
119,125107
120,153129
121,5864
122,190739
123,48114
124,130479
125,155467
126,171921
127,141097
128,281809
129,102570
130,196795
131,179198
132,224735
133,52191
134,12565
135,94125
136,1824
137,3723
138,103256
139,117130
140,160912
141,18268
142,816
143,40191
144,263990
145,325870
146,36803
147,81658
148,107217
150,9279
151,2142
152,152498
153,315983
154,87450
155,75913
156,1110
157,50154
158,163130
159,60554
160,2139
161,24311
162,280594
163,16803
164,235344
165,338
167,158094
168,200606
169,205495
170,266083
171,50246
172,152218
173,52487
175,141272
176,94218
177,347060
178,119014
179,194234
180,17409
181,142219
182,246812
183,156
184,37833
185,88611
187,155305
188,43515
189,152054
190,300457
191,136591
192,230078
193,124381
194,691
195,344911
196,112958
197,2126
198,349182
199,426303
200,15768
201,116387
202,178718
203,101840
204,81986
205,214276
207,23936
208,59302
209,233262
210,493
211,120180
212,162474
213,24349
214,262
215,340296
216,163840
217,3131
218,44270
219,50349
220,228023
221,2213
222,42189
223,83792
224,18374
226,207392
227,40443
228,466
229,73944
230,139077
231,191
232,235577
233,55869
234,3722
235,71905
236,7518
237,217
238,132313
239,1877
240,310083
241,207233
242,45416
243,153
244,276635
245,39991
246,49515
247,16628
248,171275
249,356066
250,354407
251,340
252,521
253,109747
254,185867
255,62392
256,180734
257,185220
258,191979
259,3066
260,2498
261,122542
262,481987
263,199701
264,4569
265,175222
266,227998
267,91852
268,249694
269,27111
270,252501
271,74126
272,207686
273,609496
274,1237628
275,175308
276,278
277,583
278,456796
279,21880
280,168596
281,169598
282,109565
283,2488
284,5376
285,19337
286,12103
287,284406
288,1150
289,83430
290,42643
291,105896
292,14506
293,70
295,138988
296,63660
297,143817
298,34914
299,58326
300,51080
301,534465
302,582
303,23981
304,30925
305,169155
306,95796
307,57278
308,79940
309,226877
310,244537
311,290
312,39804
313,329
314,99143
316,117700
317,1017
318,10155
319,112751
320,46606
321,166434
322,64147
323,161646
324,134417
325,61979
326,248063
327,22855
328,259146
329,1162
331,565527
332,135715
333,4315
334,27640
335,901
336,84889
337,1170
338,68039
339,83138
340,40916
341,24636
343,468
344,431
346,69504
347,280
348,57849
349,100632
350,10891
351,95854
352,411
