ID_3,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
1,129,871,173,0.19862227324913892
1,179,1652,97,0.05871670702179177
1,241,1761,1112,0.6314593980692789
1,338,578,12,0.020761245674740483
1,223,712,107,0.1502808988764045
1,80,1123,431,0.383793410507569
2,129,871,443,0.5086107921928817
2,241,1761,36,0.020442930153321975
2,15,1429,109,0.07627711686494051
2,79,1041,51,0.04899135446685879
3,131,1523,199,0.13066316480630336
3,179,1652,76,0.04600484261501211
3,241,1761,269,0.15275411697898922
4,129,871,255,0.2927669345579793
4,338,578,487,0.842560553633218
4,147,693,136,0.19624819624819625
4,223,712,158,0.22191011235955055
4,79,1041,46,0.04418828049951969
5,245,340,79,0.2323529411764706
5,115,353,205,0.5807365439093485
5,90,267,46,0.17228464419475656
5,241,1761,229,0.13003975014196478
5,223,712,149,0.20926966292134833
5,80,1123,296,0.26357969723953695
6,110,1414,288,0.2036775106082037
6,131,1523,752,0.4937623112278398
6,203,866,20,0.023094688221709007
6,241,1761,108,0.06132879045996593
6,15,1429,303,0.21203638908327502
6,230,1182,537,0.4543147208121827
7,110,1414,0,0.0
7,131,1523,422,0.27708470124753776
7,179,1652,44,0.026634382566585957
7,203,866,461,0.5323325635103926
8,131,1523,150,0.0984898227183191
8,17,1423,35,0.024595924104005622
8,15,1429,535,0.37438768369489156
8,230,1182,238,0.20135363790186125
9,170,2251,1064,0.4726788094180364
10,84,537,176,0.32774674115456237
10,195,2918,123,0.04215215901302262
10,270,2139,252,0.11781206171107994
10,215,2876,79,0.027468706536856746
10,170,2251,455,0.20213238560639715
11,195,2918,436,0.14941740918437285
11,240,2626,492,0.18735719725818736
11,270,2139,596,0.27863487611033194
11,117,1877,2,0.0010655301012253596
12,216,1389,1066,0.7674586033117351
12,178,1009,68,0.06739345887016848
13,84,537,22,0.040968342644320296
13,195,2918,467,0.16004112405757367
13,270,2139,540,0.25245441795231416
14,84,537,26,0.048417132216014895
14,216,1389,169,0.1216702663786897
14,178,1009,677,0.6709613478691774
14,310,2073,167,0.08055957549445249
15,84,537,312,0.5810055865921788
15,270,2139,611,0.28564749883122953
15,178,1009,265,0.2626362735381566
15,113,1596,4,0.002506265664160401
15,310,2073,884,0.42643511818620355
