ID_2,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
1,245,340,79,0.2323529411764706
1,115,353,205,0.5807365439093485
1,131,1523,199,0.13066316480630336
1,129,871,871,1.0
1,179,1652,173,0.10472154963680387
1,90,267,46,0.17228464419475656
1,241,1761,1647,0.9352640545144804
1,338,578,499,0.8633217993079585
1,15,1429,109,0.07627711686494051
1,147,693,136,0.19624819624819625
1,223,712,414,0.5814606741573034
1,79,1041,97,0.09317963496637849
1,80,1123,727,0.647373107747106
2,110,1414,288,0.2036775106082037
2,131,1523,1324,0.8693368351936966
2,179,1652,44,0.026634382566585957
2,203,866,481,0.5554272517321016
2,17,1423,35,0.024595924104005622
2,241,1761,108,0.06132879045996593
2,15,1429,837,0.5857242827151854
2,230,1182,775,0.6556683587140439
3,84,537,537,1.0
3,195,2918,1026,0.35161069225496916
3,240,2626,492,0.18735719725818736
3,270,2139,1998,0.9340813464235624
3,216,1389,1236,0.8898488120950324
3,178,1009,1009,1.0
3,113,1596,4,0.002506265664160401
3,117,1877,2,0.0010655301012253596
3,310,2073,1051,0.5069946936806561
3,215,2876,79,0.027468706536856746
3,170,2251,1519,0.6748111950244335
4,279,186,186,1.0
4,298,297,297,1.0
4,111,1289,959,0.7439875872769589
4,246,422,422,1.0
4,201,991,991,1.0
4,196,961,82,0.08532778355879292
4,14,498,351,0.7048192771084337
4,121,51,51,1.0
4,185,755,732,0.9695364238410596
4,336,723,723,1.0
4,57,2165,26,0.012009237875288684
4,27,2150,514,0.23906976744186045
4,41,828,226,0.27294685990338163
4,72,651,143,0.2196620583717358
4,159,516,3,0.005813953488372093
4,191,1171,0,0.0
4,207,206,206,1.0
4,94,1469,847,0.5765827093260721
5,282,932,89,0.09549356223175966
5,196,961,879,0.9146722164412071
5,14,498,147,0.29518072289156627
5,122,1622,250,0.15413070283600494
5,185,755,23,0.030463576158940398
5,72,651,65,0.09984639016897082
5,323,1375,781,0.568
5,191,1171,1170,0.9991460290350128
5,321,1416,1385,0.9781073446327684
5,53,2098,173,0.08245948522402288
6,304,263,263,1.0
6,70,530,527,0.9943396226415094
6,13,1076,82,0.0762081784386617
6,326,2110,955,0.45260663507109006
6,107,868,425,0.48963133640552997
6,282,932,815,0.8744635193133047
6,220,1938,410,0.21155830753353974
6,196,961,0,0.0
6,103,1434,977,0.6813110181311018
6,36,2043,2,0.0009789525208027412
6,29,499,241,0.48296593186372744
6,27,2150,928,0.4316279069767442
6,41,828,602,0.7270531400966184
6,72,651,443,0.6804915514592934
6,12,520,520,1.0
6,233,475,475,1.0
6,38,782,782,1.0
6,321,1416,21,0.014830508474576272
7,111,1289,330,0.2560124127230411
7,104,618,618,1.0
7,57,2165,1846,0.8526558891454965
7,62,422,422,1.0
