DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,Shape_Leng,Shape_Area
SN201200000001,SN,2012.00000000000,1.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.67543107200,-17.44052090700,9999.00000000000,14.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000002,SN,2012.00000000000,2.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.67827092600,-17.45779382100,9999.00000000000,14.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000003,SN,2012.00000000000,3.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.71041892200,-17.45928792700,9999.00000000000,22.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000004,SN,2012.00000000000,4.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.70282016900,-17.44300794600,9999.00000000000,11.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000005,SN,2012.00000000000,5.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.75712501400,-17.47847401100,9999.00000000000,23.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000006,SN,2012.00000000000,6.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.74463729900,-17.44361897800,9999.00000000000,11.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000007,SN,2012.00000000000,7.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.73684615400,-17.44122026200,9999.00000000000,18.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000008,SN,2012.00000000000,8.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.75541103500,-17.44557335400,9999.00000000000,24.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31077,Dakar,92463,Dakar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.77879160194,0.00681208283
SN201200000009,SN,2012.00000000000,9.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.77521652700,-17.39910073700,9999.00000000000,18.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31078,Pikine,92464,Pikine,,,,Arrondissment,Arrondissement,Unknown,Present,,0.44046645820,0.00659338598
SN201200000010,SN,2012.00000000000,10.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.78616189200,-17.36141657700,9999.00000000000,8.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31078,Pikine,92464,Pikine,,,,Arrondissment,Arrondissement,Unknown,Present,,0.44046645820,0.00659338598
SN201200000011,SN,2012.00000000000,11.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.76053199400,-17.35989502500,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31078,Pikine,92464,Pikine,,,,Arrondissment,Arrondissement,Unknown,Present,,0.44046645820,0.00659338598
SN201200000012,SN,2012.00000000000,12.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.75649698900,-17.39642192200,9999.00000000000,8.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31078,Pikine,92464,Pikine,,,,Arrondissment,Arrondissement,Unknown,Present,,0.44046645820,0.00659338598
SN201200000013,SN,2012.00000000000,13.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.76464340700,-17.38035803600,9999.00000000000,11.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31078,Pikine,92464,Pikine,,,,Arrondissment,Arrondissement,Unknown,Present,,0.44046645820,0.00659338598
