DHSCLUST,_count
1,616
2,570
3,1927
4,929
5,3300
6,624
7,1165
8,1010
9,918
10,2638
11,626
12,1372
13,787
14,3067
15,686
16,9173
17,12043
18,24160
19,21550
20,76286
21,40646
22,83619
23,56242
24,3978
25,20783
26,28194
27,45654
28,2303
29,52386
30,7166
31,2872
32,15784
33,59357
34,54123
35,7878
36,58024
37,108785
38,44608
39,45107
40,48142
41,34746
42,27756
43,76693
44,107900
45,33871
46,74250
47,163050
48,84276
49,38268
50,64908
51,41789
52,97317
53,53682
54,174839
55,38133
56,116013
57,78356
58,86462
59,29824
60,130825
61,129499
62,199984
63,68890
64,33148
65,49268
66,50244
67,49341
68,19078
69,17848
70,36983
71,1035
72,9650
73,28076
74,53593
75,48097
76,53218
77,64677
78,161390
79,130555
80,96161
81,32162
82,34909
83,81437
84,165639
85,447263
86,813308
87,196374
88,131547
89,157322
90,130667
91,222239
92,75653
93,69655
94,12239
95,161294
96,141343
97,180212
98,105440
99,49124
100,171795
101,15555
102,26680
103,106755
104,160120
105,160939
106,334994
107,776613
108,207930
109,301875
110,496926
111,141176
112,411843
113,45610
114,105737
115,35490
116,36386
117,465054
118,27628
119,322724
120,21169
121,75570
122,222796
123,46127
124,30469
125,74468
126,10542
127,96105
128,1023968
129,439090
130,67189
131,46457
132,179500
133,160204
134,40306
135,241693
136,224213
137,415088
138,383263
139,171192
140,91695
141,107415
142,66318
143,28661
144,15623
145,138853
146,111156
147,109143
148,88267
149,26265
150,111576
151,63723
152,23166
153,50287
154,55977
155,54188
156,39322
157,20150
158,944647
159,103036
160,851286
161,792707
162,273011
163,565383
164,79837
165,471856
166,211463
167,490136
168,178770
169,47841
170,124521
171,27811
172,72378
173,32821
174,29615
175,10700
176,4414
177,37664
178,38255
179,56411
180,26630
181,10754
182,20616
183,41347
184,113721
185,108905
186,50426
187,81212
188,65261
189,37731
190,79505
191,106468
192,156817
193,53254
194,126275
195,41378
196,32850
197,9820
198,23346
199,55754
200,1133
