DHSCLUST,DHSREGCO,O_Area_km2,ID_1,P_Area_km2,Proportion
194,4,1134.85095,2641,1134.85072,1.00000
149,4,250.3979,2635,243.77119,0.97354
149,4,250.3979,2641,6.63998,0.02652
80,4,812.9505,2639,812.95029,1.00000
78,4,1363.80785,2639,1363.80784,1.00000
81,4,271.85547,2639,271.85546,1.00000
197,4,82.99138,2641,82.99137,1.00000
200,4,10.68054,2641,10.68054,1.00000
83,4,688.14846,2639,688.14844,1.00000
199,4,496.67795,2641,496.67786,1.00000
152,4,233.05982,2635,165.16919,0.70870
152,4,233.05982,2641,67.90528,0.29136
196,4,312.72741,2641,312.72731,1.00000
195,4,430.5332,2635,69.09427,0.16049
195,4,430.5332,2641,361.44733,0.83953
82,4,295.0277,2639,295.0277,1.00000
154,4,478.07646,2635,478.07646,1.00000
153,4,498.57075,2635,498.57054,1.00000
84,4,1399.58589,2639,1399.58569,1.00000
100,4,1450.71157,2635,1331.12344,0.91757
100,4,1450.71157,2639,119.87645,0.08263
89,4,1328.51522,2635,1328.5082,0.99999
157,4,230.26386,2635,230.26386,1.00000
79,4,1102.40448,2639,1102.40448,1.00000
198,4,227.49607,2641,227.49607,1.00000
151,4,561.18021,2635,561.1801,1.00000
156,4,332.05255,2635,332.05255,1.00000
193,4,449.61406,2641,449.61406,1.00000
190,4,677.48669,2641,677.48669,1.00000
155,4,486.28348,2635,288.22741,0.59271
155,4,486.28348,2641,198.0358,0.40724
150,4,976.27391,2635,976.27389,1.00000
93,4,587.99687,2635,587.99682,1.00000
94,4,103.52042,2635,103.52042,1.00000
88,4,1109.12716,2635,1109.12716,1.00000
191,4,919.54723,2641,919.54723,1.00000
145,4,1211.07225,2635,1022.24805,0.84409
145,4,1211.07225,2641,188.80678,0.15590
146,4,950.44151,2635,950.44151,1.00000
92,4,638.20443,2635,638.20443,1.00000
85,4,3774.13165,2639,3774.13165,1.00000
90,4,1108.03905,2635,1108.03904,1.00000
